Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-11.396913	0.05006218	-11.34685	-11.446975	250.0	0.91255397	0.55934453	2.4750648	-0.48771903	500	-3.3378602e-09	15.635335	-0.33260033	-14.851004	367.80426	0.1938584	0.598	1.0	2.8364710807800293
1	-11.29185	0.06494999	-11.2269	-11.3568	250.0	-2.5935376	0.7630755	-0.3687436	-4.484386	1000	2.2888183e-07	1.7269179	-0.22202426	-1.3268409	368.04242	0.042745423	0.472	1.0	4.949050426483154
2	-11.267762	0.025662422	-11.2421	-11.293425	250.0	-2.7663362	0.8355028	-1.0873301	-6.6073794	1500	8.735657e-07	1.7674686	-0.26132676	-1.6972723	367.79434	0.1168219	0.59	2.0	7.094308376312256
3	-11.276688	0.04116249	-11.235525	-11.31785	250.0	-2.4777594	0.5008845	-1.267484	-4.2518606	2000	-8.1825254e-07	1.4051338	-0.2731964	-1.3879645	367.68655	0.13953033	0.452	2.0	9.712835311889648
4	-11.327137	0.014862537	-11.312275	-11.342	250.0	-2.875307	0.574253	-1.6186174	-4.2114463	2500	-6.484986e-08	1.1398858	-0.23771116	-1.1191436	366.6687	0.16528358	0.398	2.0	11.91173768043518
5	-11.38385	0.043425083	-11.340425	-11.427275	250.0	-2.7496479	0.55752665	-1.3822118	-4.196428	3000	1.9073487e-07	1.2733853	-0.22450292	-1.2561922	366.46298	0.0943971	0.284	2.0	14.07834792137146
6	-11.328075	0.08117533	-11.2469	-11.40925	250.0	-2.9176884	0.8066421	-0.94258714	-5.4005356	3500	8.487701e-07	1.3094339	-0.19668986	-1.2909389	367.0884	0.07547565	0.206	1.0	16.19208025932312
7	-11.292387	0.008387089	-11.284	-11.300775	250.0	-2.4378235	0.6081661	-1.0267968	-5.3335137	4000	5.283356e-07	1.5382173	-0.1891379	-1.5205928	367.0418	0.11428064	0.22	1.0	18.434798002243042
8	-11.296263	0.00056266785	-11.2957	-11.296825	250.0	-2.5981781	0.5711778	-1.230351	-4.202336	4500	4.1198732e-07	1.2966536	-0.18076678	-1.2825184	368.23065	0.088085204	0.282	1.0	20.55726957321167
9	-11.3540745	0.029124737	-11.32495	-11.3832	250.0	-2.7642856	0.54474807	-1.44697	-4.3198137	5000	-1.3008117e-06	1.3011956	-0.16595344	-1.2880336	368.60376	0.08738275	0.242	1.0	22.673383474349976
10	-11.237425	0.03267479	-11.20475	-11.2701	250.0	-2.6254537	0.5938463	-1.1933465	-4.2111044	5500	2.670288e-07	1.3922943	-0.21267973	-1.3762429	368.15652	0.16555628	0.458	2.0	25.20265769958496
11	-11.318287	0.024587154	-11.2937	-11.342875	250.0	-2.4711685	0.6066325	-1.0181514	-4.188995	6000	1.0185241e-06	1.4484146	-0.15548934	-1.4260215	366.44418	0.07166608	0.228	1.0	27.34357714653015
12	-11.2525625	0.0029878616	-11.249575	-11.25555	250.0	-2.7139244	0.6544669	-1.5096904	-4.6275406	6500	-8.201599e-07	0.90403557	-0.17878334	-0.88630855	368.15732	0.119684204	0.29	1.0	29.560593843460083
13	-11.298437	0.048687458	-11.24975	-11.347125	250.0	-2.529146	0.6678993	-1.360399	-4.360372	7000	1.2245179e-06	1.2318485	-0.16174316	-1.2157457	368.29846	0.09114947	0.24	1.0	31.69144916534424
14	-11.275137	0.059287548	-11.21585	-11.334425	250.0	-2.6935506	0.5189039	-1.6283143	-4.5041823	7500	-6.8092345e-07	1.2834643	-0.20624508	-1.265701	368.31427	0.14782782	0.374	2.0	33.82999658584595
15	-11.325825	0.042349815	-11.283475	-11.368175	250.0	-2.71177	0.59551203	-1.2632102	-4.2029552	8000	-1.1825562e-06	1.2568531	-0.1631211	-1.2404051	366.87802	0.048115052	0.164	1.0	35.96040058135986
16	-11.319838	0.038437843	-11.2814	-11.358275	250.0	-2.5792801	0.6340465	-0.67573404	-4.2117734	8500	-6.332397e-07	1.3206952	-0.15524118	-1.3043805	367.97696	0.079062745	0.22	1.0	38.07459115982056
17	-11.292888	0.029737473	-11.26315	-11.322625	250.0	-2.5852737	0.6122511	-1.2898642	-4.211975	9000	-2.479553e-07	1.028611	-0.1512695	-1.0171133	368.56506	0.084252566	0.236	1.0	40.24265742301941
18	-11.297287	0.0142121315	-11.283075	-11.3115	250.0	-2.789791	0.6599733	-1.1347175	-4.5981574	9500	3.5476685e-07	1.0354362	-0.16790298	-1.0234027	367.4129	0.11029181	0.256	1.0	42.42417860031128
19	-11.250074	0.014174938	-11.2359	-11.26425	250.0	-2.6599863	0.5635809	-1.47579	-4.209522	10000	1.373291e-07	1.4859934	-0.15004724	-1.4705536	366.65707	0.0737099	0.184	1.0	44.58263611793518
20	-11.247063	0.029862404	-11.2172	-11.276925	250.0	-2.5249796	0.64435726	-1.3042791	-4.6035895	10500	4.2152405e-07	1.0940286	-0.22872564	-1.0784787	367.90097	0.083839476	0.324	2.0	47.0380654335022
21	-11.26885	0.010099888	-11.25875	-11.27895	250.0	-2.798275	0.6084438	-1.1115907	-4.197071	11000	1.4381409e-06	1.0326731	-0.17126778	-1.0167387	368.35522	0.07516254	0.218	1.0	49.154216289520264
22	-11.2374	0.017225266	-11.220175	-11.254625	250.0	-2.5689068	0.7703853	-0.9931537	-4.836557	11500	-1.4724732e-06	1.002466	-0.24187708	-0.9868587	367.28714	0.11151721	0.362	2.0	51.42718005180359
23	-11.2986	0.04339981	-11.2552	-11.342	250.0	-2.7465658	0.54886913	-1.5454841	-4.1873875	12000	4.1770934e-07	1.2196363	-0.19636315	-1.20712	367.56915	0.09784924	0.316	2.0	53.59168267250061
24	-11.259838	0.07336283	-11.186475	-11.3332	250.0	-2.6519	0.60599285	-1.210025	-4.3197474	12500	6.027222e-07	1.2368714	-0.21578425	-1.2228822	367.283	0.092544615	0.304	2.0	55.73436737060547
25	-11.32255	0.05159998	-11.27095	-11.37415	250.0	-2.7706897	0.61195165	-1.4509075	-4.459534	13000	-1.1844635e-06	1.063372	-0.2144499	-1.0494539	367.22	0.08822699	0.328	2.0	57.86381673812866
26	-11.281387	0.020537376	-11.26085	-11.301925	250.0	-2.8835657	0.66537446	-1.4610729	-5.124944	13500	-1.6784668e-07	0.754751	-0.18913478	-0.7425896	366.18256	0.09694733	0.302	2.0	59.998143434524536
27	-11.308538	0.0044875145	-11.30405	-11.313025	250.0	-2.4670823	0.68902826	-1.3300283	-4.9890327	14000	-3.6239623e-08	1.1088183	-0.16056712	-1.0932256	368.73984	0.09866205	0.168	1.0	62.11713433265686
28	-11.302074	0.0056500435	-11.296425	-11.307725	250.0	-2.8678837	0.63717055	-1.4376557	-4.5107393	14500	8.735657e-07	1.1197051	-0.15062866	-1.1059657	366.9505	0.08582727	0.246	1.0	64.24982714653015
29	-11.377199	0.014275074	-11.362925	-11.391475	250.0	-2.6474707	0.6064729	-1.1184225	-4.391157	15000	1.2722015e-06	1.1620355	-0.12804838	-1.1502569	366.74084	0.11609784	0.192	1.0	66.38766098022461
30	-11.335075	0.0015997888	-11.333475	-11.336675	250.0	-2.629543	0.7656431	-1.2457645	-4.611139	15500	-1.3542176e-07	1.5024898	-0.21511137	-1.4909203	368.58734	0.10881439	0.336	2.0	69.02205419540405
31	-11.27085	0.071575165	-11.199275	-11.342425	250.0	-2.8656332	0.56699854	-1.5690818	-4.5706306	16000	3.8146973e-07	1.2313852	-0.1615444	-1.2203443	367.59042	0.08721845	0.22	1.0	71.15837788581848
32	-11.293875	0.0062999725	-11.287575	-11.300175	250.0	-2.5403996	0.6700541	-1.1407142	-4.2538986	16500	-5.8364867e-07	1.1778486	-0.16242282	-1.1611303	367.26385	0.08141272	0.196	1.0	73.29845690727234
33	-11.247351	0.007874966	-11.239475	-11.255225	250.0	-2.7620585	0.7335806	-1.2377464	-4.9981155	17000	8.75473e-07	0.9842094	-0.16549417	-0.9712234	366.83148	0.059251588	0.198	1.0	75.4281964302063
34	-11.314613	0.03596258	-11.27865	-11.350575	250.0	-2.6640468	0.5553131	-1.3102965	-4.1838737	17500	1.3160706e-06	1.0384575	-0.1429755	-1.0254563	366.77417	0.07857245	0.19	1.0	77.55618143081665
35	-11.300562	0.008362293	-11.2922	-11.308925	250.0	-2.912996	0.6378506	-1.4979854	-5.6646786	18000	1.8882751e-07	1.0307041	-0.14732043	-1.0156069	367.62537	0.075007446	0.204	1.0	79.67315530776978
36	-11.247875	0.05442524	-11.19345	-11.3023	250.0	-2.698051	0.56214905	-1.5364559	-4.213029	18500	2.0332336e-06	1.020516	-0.20057377	-1.0058295	367.16727	0.13725787	0.38	2.0	81.83945846557617
37	-11.312201	0.04474974	-11.26745	-11.35695	250.0	-2.780255	0.6621487	-1.3359902	-4.829538	19000	6.484986e-08	1.1119417	-0.17235519	-1.095018	366.00073	0.080616824	0.27	1.0	83.96641111373901
38	-11.244263	0.026412487	-11.21785	-11.270675	250.0	-2.7134209	0.70474607	-0.89051825	-5.8124127	19500	-4.2152405e-07	1.1330982	-0.15672535	-1.1199236	366.82736	0.10854389	0.24	1.0	86.08967137336731
39	-11.164125	0.1088748	-11.05525	-11.273	250.0	-2.7746382	0.6059961	-1.565025	-4.2918077	20000	4.1389464e-07	0.974315	-0.16516572	-0.95899767	367.17682	0.10650598	0.298	1.0	88.21383237838745
40	-11.228649	0.07317495	-11.155475	-11.301825	250.0	-2.670965	0.5825775	-1.3948002	-4.2680616	20500	-3.2615662e-07	1.1550103	-0.15294379	-1.1393236	368.0045	0.06836127	0.188	1.0	90.73195219039917
41	-11.344937	0.047312737	-11.297625	-11.39225	250.0	-2.9131184	0.60927284	-1.4729596	-4.8455462	21000	8.392334e-08	0.86220574	-0.19648999	-0.84584373	367.4105	0.09059613	0.332	2.0	92.90813207626343
42	-11.282662	0.005387306	-11.277275	-11.28805	250.0	-2.8227227	0.63600427	-1.3588924	-4.4446845	21500	6.99997e-07	1.0968194	-0.16848391	-1.0816802	366.1196	0.079911254	0.184	1.0	95.04684209823608
43	-11.331949	0.021524906	-11.310425	-11.353475	250.0	-2.61355	0.60969514	-1.2942234	-4.1969595	22000	-3.4713744e-07	1.4418352	-0.15080018	-1.4276705	366.44046	0.10583032	0.236	1.0	97.15987205505371
44	-11.297188	0.007962704	-11.289225	-11.30515	250.0	-2.7687783	0.6121466	-1.4709686	-4.6636486	22500	1.373291e-07	1.0110748	-0.132938	-0.9969042	366.4326	0.09492267	0.262	1.0	99.3193895816803
45	-11.2428	0.02215004	-11.22065	-11.26495	250.0	-2.8182843	0.6431479	-1.5458703	-4.7712865	23000	-9.613037e-07	0.9082398	-0.15270174	-0.89473236	366.98642	0.08258508	0.19	1.0	101.47693252563477
