Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-10.636049	0.04575014	-10.5903	-10.6818	250.0	-0.17571884	0.5107529	1.1210189	-1.6463864	500	-4.4822693e-07	7.91709	-4332203.5	-7.458137	0.46853846	0.0	3.1891844272613525
1	-10.549063	0.0075626373	-10.5415	-10.556625	250.0	-2.6133301	0.58066815	-0.83281684	-3.8326387	1000	-1.1405945e-06	1.7490096	-23246362.0	-1.6075869	0.46644858	0.0	5.516382932662964
2	-10.618925	0.005624771	-10.6133	-10.62455	250.0	-2.489356	0.49916834	-0.76074797	-4.0860305	1500	6.8092345e-07	1.3999783	-549898.5	-1.3788896	0.46535507	0.0	7.8328447341918945
3	-10.645563	0.020562649	-10.625	-10.666125	250.0	-2.7108746	0.4611982	-1.47216	-3.770505	2000	-8.31604e-07	1.2754058	-475705860.0	-1.2588332	0.46484345	0.0	10.080845832824707
4	-10.605013	0.01016283	-10.59485	-10.615175	250.0	-2.6050055	0.5424426	-1.0716698	-3.8567429	2500	1.3408661e-06	1.1510432	-36759830.0	-1.1368532	0.46190616	0.0	12.400893449783325
5	-10.556562	0.07658768	-10.479975	-10.63315	250.0	-2.8542433	0.5052469	-1.2393895	-4.481246	3000	-9.2697144e-07	1.2627109	-185514720.0	-1.2484396	0.46642807	0.0	14.659868717193604
6	-10.630075	0.015625	-10.61445	-10.6457	250.0	-2.6495445	0.5915909	-1.2047468	-3.8489292	3500	-1.0032654e-06	1.0798169	-25559262.0	-1.0660281	0.46230194	0.0	16.9000723361969
7	-10.60615	0.0022997856	-10.60385	-10.60845	250.0	-2.6450307	0.5753066	-1.1988716	-4.007806	4000	-1.1444092e-08	1.1483335	-1560545.4	-1.1369865	0.465803	0.0	19.124042987823486
8	-10.575613	0.0095124245	-10.5661	-10.585125	250.0	-2.6752453	0.6008905	-0.7008322	-3.9074683	4500	4.196167e-07	0.9872253	-673983.8	-0.975334	0.46440828	0.0	21.428412675857544
9	-10.601962	0.0018625259	-10.6001	-10.603825	250.0	-2.709492	0.62515175	-1.3060621	-4.965053	5000	1.7929077e-07	1.1028053	-4957600300.0	-1.091412	0.4672462	0.0	23.800880670547485
10	-10.545338	0.017837524	-10.5275	-10.563175	250.0	-2.673311	0.5922764	-0.8654535	-4.0069113	5500	-2.2125244e-07	1.3436812	-581261440.0	-1.3338168	0.46485052	0.0	26.328177452087402
11	-10.5777	0.05104971	-10.52665	-10.62875	250.0	-2.79164	0.5106871	-1.1355237	-4.3146157	6000	2.8991698e-07	1.1035281	-6085901.5	-1.09286	0.46622384	0.0	28.600061416625977
12	-10.585813	0.022387505	-10.563425	-10.6082	250.0	-2.5800083	0.55575883	-0.9405777	-3.8773932	6500	-1.493454e-06	1.3328978	-1298837.2	-1.3225394	0.4650952	0.0	31.050254106521606
13	-10.57335	0.02527523	-10.548075	-10.598625	250.0	-2.6010876	0.5694776	-0.81811404	-3.8913872	7000	9.117126e-07	1.0829315	-63009132.0	-1.0698332	0.4620209	0.0	33.36829924583435
14	-10.556862	0.033612728	-10.52325	-10.590475	250.0	-2.9059951	0.5488158	-1.2715086	-4.4610877	7500	1.2054444e-06	1.4176743	-3799973.0	-1.4071378	0.46792936	0.0	35.68021512031555
15	-10.5654	0.011975288	-10.553425	-10.577375	250.0	-2.7808511	0.5400599	-0.8880213	-3.8886888	8000	1.7166138e-07	0.89605606	-4309591000.0	-0.8854033	0.46847954	0.0	37.982059478759766
16	-10.569462	0.06568766	-10.503775	-10.63515	250.0	-2.6540923	0.5516438	-1.1238589	-4.3950057	8500	-9.403229e-07	1.1961422	-187757490.0	-1.1868153	0.46646073	0.0	40.33704590797424
17	-10.567463	0.0035624504	-10.5639	-10.571025	250.0	-2.8138897	0.5903552	-1.0221592	-3.8756077	9000	-1.5907287e-06	1.0374805	-3914870.5	-1.0283307	0.46593356	0.0	42.66804599761963
18	-10.631588	0.003987789	-10.6276	-10.635575	250.0	-2.764093	0.5364672	-1.2486889	-4.7611237	9500	-1.0910035e-06	0.9920633	-162367800.0	-0.98125154	0.46627396	0.0	44.9008731842041
19	-10.579488	0.0015125275	-10.577975	-10.581	250.0	-2.7353806	0.58588254	-0.7741744	-4.1226892	10000	-1.6441345e-06	1.3283987	-752095.0	-1.3214623	0.46710637	0.0	47.19640517234802
20	-10.588949	0.005199909	-10.58375	-10.59415	250.0	-2.8779984	0.42767844	-1.5691062	-3.9020336	10500	1.0185241e-06	1.2344075	-18841092.0	-1.2266415	0.46751803	0.0	49.722466468811035
21	-10.520163	0.0025873184	-10.517575	-10.52275	250.0	-2.4243252	0.61116683	-0.77748847	-4.3185134	11000	-6.2942505e-08	1.4093578	-67596420.0	-1.3973283	0.46675256	0.0	52.02998375892639
22	-10.548574	0.019549847	-10.529025	-10.568125	250.0	-2.6899004	0.524628	-0.9702568	-4.12975	11500	8.468628e-07	1.1357327	-759025200.0	-1.1237463	0.467415	0.0	54.24446702003479
23	-10.613388	0.002462864	-10.610925	-10.61585	250.0	-2.6742158	0.5982173	-0.9168193	-4.5252986	12000	-8.430481e-07	1.1517438	-2037520.2	-1.1415076	0.46552965	0.0	56.49412155151367
24	-10.592487	0.023587227	-10.5689	-10.616075	250.0	-2.4978487	0.65256923	-1.0110719	-4.618036	12500	-1.7910004e-06	1.1371686	-146778.89	-1.1264344	0.46889976	0.0	58.814430236816406
25	-10.5373	0.051024914	-10.486275	-10.588325	250.0	-2.8526127	0.5227917	-0.841325	-3.8921227	13000	6.4659116e-07	1.4787893	-9600571.0	-1.4634393	0.46738362	0.0	61.136669635772705
26	-10.559713	0.009862423	-10.54985	-10.569575	250.0	-2.655452	0.5684195	-0.86369014	-3.8807845	13500	2.2697449e-07	1.2085146	-205525170.0	-1.197646	0.46703526	0.0	63.45185852050781
