Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-10.620537	0.037362576	-10.583175	-10.6579	250.0	0.38936517	0.40565768	1.7410326	-0.9154056	500	-0.021404693	10.694878	-0.3947719	-10.069173	367.8043	0.052489135	2.678831100463867
1	-10.536625	0.023400307	-10.513225	-10.560025	250.0	-2.4169822	0.72681653	-0.35058084	-4.358983	1000	0.22955078	2.1284146	-0.17902051	-1.7679929	368.03952	-0.0026078492	4.67478609085083
2	-10.573437	0.00086259854	-10.572575	-10.5743	250.0	-2.2898576	0.66268396	-0.47805554	-4.5424175	1500	1.1474082	1.8173211	-0.17112893	-1.7387261	367.78577	-0.009918396	6.674140214920044
3	-10.630188	0.021212101	-10.608975	-10.6514	250.0	-2.3532262	0.67481285	-0.7538685	-5.480461	2000	-0.8314336	1.8590832	-0.13882715	-1.8471057	367.66553	0.016171386	8.657864093780518
4	-10.630463	0.029812813	-10.60065	-10.660275	250.0	-2.3398876	0.6336802	-0.8464904	-4.577453	2500	-0.6084541	1.253327	-0.10307711	-1.243254	366.6429	0.018643554	10.6539945602417
5	-10.535488	0.07366228	-10.461825	-10.60915	250.0	-2.6412523	0.55126154	-0.90768594	-4.41295	3000	0.6066914	1.4409773	-0.101447284	-1.4307395	366.43893	0.009227234	12.620615720748901
6	-10.624525	0.018799782	-10.605725	-10.643325	250.0	-2.5058725	0.6011136	-1.0094267	-4.301676	3500	0.91157424	1.2730803	-0.08495414	-1.262632	367.068	0.015287536	14.601953744888306
7	-10.56665	0.030974865	-10.535675	-10.597625	250.0	-2.580203	0.5517507	-1.0288109	-4.3895154	4000	-1.1060351	1.1785905	-0.0794785	-1.1649857	367.02402	0.008080384	16.59566378593445
8	-10.568424	0.0055499077	-10.562875	-10.573975	250.0	-2.5549107	0.552674	-1.3600025	-4.309527	4500	-0.45816505	1.2711859	-0.078082025	-1.2623612	368.21683	0.01003833	18.58604073524475
9	-10.589287	0.0033373833	-10.58595	-10.592625	250.0	-2.6281526	0.54375756	-1.3158784	-4.582683	5000	-0.14928223	1.086749	-0.079780266	-1.0779753	368.5908	0.0014020386	20.58537983894348
10	-10.546187	0.005387306	-10.5408	-10.551575	250.0	-2.5905619	0.55694926	-1.138905	-3.9551604	5500	0.3926914	1.0768955	-0.07363281	-1.0691384	368.14725	0.0027804566	22.903274059295654
11	-10.562512	0.043987274	-10.518525	-10.6065	250.0	-2.4565942	0.65971565	-0.7117049	-4.0817227	6000	1.3358057	1.0652224	-0.07310307	-1.0572343	366.4412	0.006220459	24.91404390335083
12	-10.595188	0.021012783	-10.574175	-10.6162	250.0	-2.6145957	0.5892569	-0.977019	-4.0410395	6500	-0.11778711	1.3200426	-0.066912115	-1.3089954	368.15598	0.004076477	26.924306869506836
13	-10.57345	0.020500183	-10.55295	-10.59395	250.0	-2.381836	0.5770637	-0.7072626	-4.155847	7000	0.29531446	1.5042845	-0.0640254	-1.4943465	368.29962	0.011216187	28.92598581314087
14	-10.540588	0.009037495	-10.53155	-10.549625	250.0	-2.507208	0.63504595	-0.87130034	-4.5628037	7500	-0.692583	1.280859	-0.06174314	-1.2723302	368.31467	0.0068361205	30.924754858016968
15	-10.578163	0.024312496	-10.55385	-10.602475	250.0	-2.587599	0.5683053	-1.3567067	-4.1472654	8000	1.3523828	1.2117829	-0.05465424	-1.2047154	366.8792	0.0017370605	32.93683218955994
16	-10.573175	0.07200003	-10.501175	-10.645175	250.0	-2.3119879	0.6250082	-0.5684072	-3.8838139	8500	0.50518066	1.2043502	-0.049116194	-1.192726	367.97638	0.0025216674	34.93760013580322
17	-10.565225	0.030674934	-10.53455	-10.5959	250.0	-2.5211806	0.545	-1.1635816	-3.8905692	9000	-0.07027051	1.0967703	-0.06346288	-1.0878459	368.5637	0.003595459	36.910308837890625
18	-10.637287	0.016737461	-10.62055	-10.654025	250.0	-2.5125356	0.6014926	-1.0240047	-3.898476	9500	0.38558984	1.0491899	-0.056964338	-1.0396415	367.4135	-0.0027081298	38.93054389953613
19	-10.577863	0.0315876	-10.546275	-10.60945	250.0	-2.6815856	0.51653934	-1.1893084	-4.238726	10000	-0.63232815	1.1373051	-0.051985323	-1.1288209	366.66174	0.008772033	41.75865125656128
20	-10.5779	0.020424843	-10.557475	-10.598325	250.0	-2.648984	0.62094164	-0.9344061	-4.623355	10500	0.43550196	1.1950638	-0.05886525	-1.1838386	367.9145	-0.00089837646	44.08349418640137
