Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-10.636049	0.04575014	-10.5903	-10.6818	250.0	0.293091	0.51168346	1.5473465	-0.937662	500	-0.1774054	10.424404	-0.46792662	-9.931003	367.8043	0.025522826	2.618259906768799
1	-10.546375	0.0019249917	-10.54445	-10.5483	250.0	-2.6053853	0.58854157	-0.7131465	-3.9438193	1000	-0.19929688	1.7244682	-0.23808397	-1.5164325	368.04257	-0.028979309	4.576143741607666
2	-10.621538	0.0027623177	-10.618775	-10.6243	250.0	-2.6357918	0.537623	-1.1559937	-4.2526	1500	0.64101565	1.4593478	-0.20036623	-1.4139541	367.788	-0.009588989	6.511510848999023
3	-10.647724	0.00880003	-10.638925	-10.656525	250.0	-2.55468	0.51219124	-0.8926876	-3.872661	2000	-0.70295507	1.4782954	-0.1565547	-1.4578623	367.66623	0.0020631102	8.485089778900146
4	-10.62005	0.0126748085	-10.607375	-10.632725	250.0	-2.5958204	0.57608974	-1.0627251	-4.6600766	2500	-0.15572266	1.3078505	-0.1409287	-1.2908872	366.64148	0.0079594115	10.44278597831726
5	-10.550388	0.08041239	-10.469975	-10.6308	250.0	-2.644733	0.5545665	-1.4867707	-4.357591	3000	1.2643095	1.2198473	-0.11955166	-1.2036474	366.4363	0.0069998167	12.393583536148071
6	-10.642574	0.012899876	-10.629675	-10.655475	250.0	-2.5278068	0.5876012	-0.5434703	-3.9784496	3500	1.1238828	1.4235264	-0.11191106	-1.4080198	367.0651	0.00957074	14.33356761932373
7	-10.614613	0.010462761	-10.60415	-10.625075	250.0	-2.8007407	0.4761263	-1.2600397	-4.445682	4000	-0.67186326	1.1449133	-0.10140139	-1.130671	367.02133	0.006005432	16.293232440948486
8	-10.589476	0.010425091	-10.57905	-10.5999	250.0	-2.7207675	0.58629686	-0.6545814	-4.038572	4500	-0.04310742	1.0380955	-0.100957036	-1.0258149	368.2151	0.005476746	18.236420154571533
9	-10.6138	0.0054750443	-10.608325	-10.619275	250.0	-2.7127814	0.5797064	-1.1101172	-4.5254946	5000	0.72731936	1.2482759	-0.09218949	-1.2343179	368.59076	-0.0009390869	20.189018487930298
10	-10.568863	0.0032877922	-10.565575	-10.57215	250.0	-2.5047727	0.5795299	-1.1350662	-3.997963	5500	0.29116112	1.3011717	-0.09140965	-1.2900047	368.15018	0.0026192016	22.45894455909729
11	-10.5868	0.050124645	-10.536675	-10.636925	250.0	-2.8090932	0.48915166	-1.552028	-4.3406324	6000	1.3394219	0.9490089	-0.08166206	-0.9374828	366.4467	0.004312683	24.404477834701538
12	-10.613088	0.017287254	-10.5958	-10.630375	250.0	-2.809315	0.5228072	-1.2456431	-4.5537176	6500	-0.6038242	1.2196504	-0.07701272	-1.2086443	368.16315	0.012418518	26.37614130973816
13	-10.594625	0.015824795	-10.5788	-10.61045	250.0	-2.6184263	0.5309734	-1.0567797	-4.0384727	7000	0.77907616	1.2432344	-0.07976365	-1.2315679	368.3074	0.012928467	28.32669234275818
14	-10.586425	0.020424843	-10.566	-10.60685	250.0	-2.8288364	0.462598	-1.2219712	-3.9875333	7500	-0.66529685	1.10303	-0.070355475	-1.0937198	368.32364	0.00019677734	30.264371871948242
15	-10.594925	0.017149925	-10.577775	-10.612075	250.0	-2.7953687	0.5487496	-1.2816341	-3.8856409	8000	1.5080063	0.9892665	-0.07368016	-0.9772667	366.88947	0.006522278	32.20717263221741
16	-10.595512	0.07838726	-10.517125	-10.6739	250.0	-2.6794863	0.5831769	-1.0016348	-3.872697	8500	0.8168242	1.2105126	-0.069953084	-1.2001785	367.98773	-0.0001005249	34.17042398452759
17	-10.603838	0.0016121865	-10.602225	-10.60545	250.0	-2.7580287	0.5002684	-0.97060835	-4.1378045	9000	-0.2234746	1.0681063	-0.071875975	-1.0565872	368.57614	0.00838977	36.12238359451294
18	-10.6626625	0.005637169	-10.657025	-10.6683	250.0	-2.7565536	0.5735217	-0.5031323	-3.9500306	9500	-0.7614199	1.1206598	-0.0707432	-1.1080265	367.42703	0.003524475	38.081520795822144
19	-10.612938	1.2883431e-05	-10.612925	-10.61295	250.0	-2.866721	0.49728125	-1.3410643	-4.3990235	10000	-0.43905956	1.2568272	-0.06335354	-1.2447891	366.675	0.006778931	40.03176307678223
20	-10.623838	0.0044875145	-10.61935	-10.628325	250.0	-2.8133998	0.495835	-1.3722548	-3.9031594	10500	-0.17423242	1.1877239	-0.06476757	-1.1756274	367.92792	0.0049839476	42.25894355773926
21	-10.560663	0.001212597	-10.55945	-10.561875	250.0	-2.7090497	0.6125593	-1.2064029	-4.224318	11000	0.43925098	1.497674	-0.06978613	-1.4825935	368.3922	0.0049675903	44.2176775932312
22	-10.588238	0.012962341	-10.575275	-10.6012	250.0	-2.746612	0.5024494	-1.232063	-3.9937696	11500	-0.059283204	1.3162951	-0.0629043	-1.3002808	367.3299	0.0027764894	46.16417980194092
23	-10.631687	0.011162281	-10.620525	-10.64285	250.0	-2.725815	0.5695829	-0.9513002	-4.1383405	12000	-0.64795315	1.323239	-0.061425745	-1.3097484	367.62222	0.0021880493	48.12184524536133
24	-10.631813	0.018937588	-10.612875	-10.65075	250.0	-2.5497565	0.6159204	-0.9378468	-4.4310126	12500	0.09280664	1.1425363	-0.064145505	-1.1311486	367.34692	0.00410022	50.06571936607361
25	-10.573975	0.04159975	-10.532375	-10.615575	250.0	-2.8549762	0.4909053	-0.8899736	-3.9085262	13000	-0.44568068	1.354436	-0.064436495	-1.3439544	367.29648	0.0031168824	52.012118101119995
26	-10.6033745	0.014000416	-10.589375	-10.617375	250.0	-2.676212	0.5226208	-1.2289664	-3.887708	13500	-0.6446201	1.4405881	-0.05565524	-1.4299192	366.27307	0.0075447387	53.94688177108765
27	-10.592837	0.020837784	-10.572	-10.613675	250.0	-2.7131608	0.5251063	-1.0747205	-4.0289693	14000	-0.3557412	0.9753022	-0.06171143	-0.9635752	368.84555	0.008532837	55.89237856864929
28	-10.628113	0.032162666	-10.59595	-10.660275	250.0	-2.6384866	0.5815923	-0.8937284	-4.162539	14500	-0.19497363	1.2173356	-0.06913184	-1.2080519	367.06732	0.0060724486	57.847803831100464
29	-10.599913	0.024237633	-10.575675	-10.62415	250.0	-2.8714914	0.5358692	-0.76246023	-3.889307	15000	-0.620043	1.1784675	-0.06591213	-1.1680955	366.86755	0.011090881	59.785990953445435
30	-10.6005745	0.017799854	-10.582775	-10.618375	250.0	-2.8131802	0.5656444	-1.2680031	-4.5965214	15500	-0.74613965	1.2412565	-0.05583495	-1.2310342	368.7243	0.0028740845	62.03317379951477
