Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	33.643513	0.046260834	33.689774	33.59725	16.695969	0.049388435	16.78485	16.618774	250.0	250.0	500	101.89282	46.468914	176.5796	-8.544057	-164.51653	11.4261265	15.57613205909729
2	33.505363	0.07818794	33.58355	33.427174	22.41709	0.073424645	22.54195	22.303175	250.0	250.0	1000	444.08163	220.37866	977.8916	-40.62543	-835.0265	179.17033	30.855687141418457
3	33.5656	0.022575378	33.588177	33.543026	24.117804	0.04859039	24.203224	24.030025	250.0	250.0	1500	2542.1528	1253.5348	5778.3496	-39.121708	-4856.549	12445.772	45.79206347465515
4	33.59065	0.03472519	33.625374	33.555923	25.748901	0.036786724	25.792925	25.666124	250.0	250.0	2000	15410.1	7986.5366	37612.484	129.82526	-30263.828	476764.22	60.7384672164917
5	33.5658	0.006801605	33.5726	33.559	25.977987	0.06796036	26.1112	25.87445	250.0	250.0	2500	103693.63	55584.184	247138.89	12433.749	-206093.98	41321604.0	76.43849325180054
6	33.507374	0.027999878	33.535374	33.479374	25.988348	0.050945655	26.115326	25.944225	250.0	250.0	3000	666731.2	342346.38	1534876.4	147906.92	-1299865.6	2064723600.0	91.75915694236755
7	33.62629	0.03558922	33.661877	33.5907	25.969025	0.044072088	26.0477	25.90645	250.0	250.0	3500	3915234.0	1901323.0	8749242.0	1198797.1	-7391956.5	75812750000.0	106.97168326377869
8	33.58444	0.0069122314	33.59135	33.577526	25.98993	0.04130396	26.034925	25.881824	250.0	250.0	4000	20158002.0	9002614.0	42797668.0	6888752.0	-36497144.0	2417367700000.0	122.3878002166748
9	33.608063	0.007787705	33.61585	33.600273	25.955448	0.08669895	26.09995	25.81105	250.0	250.0	4500	86008820.0	33337920.0	166016740.0	28607850.0	-147947680.0	57912410000000.0	138.37653350830078
10	33.593964	0.031661987	33.625626	33.5623	25.957294	0.05745405	26.0558	25.881874	250.0	250.0	5000	268538140.0	75609970.0	434107000.0	100201210.0	-446673820.0	1664654700000000.0	153.69155478477478
11	33.55829	0.0553627	33.61365	33.502926	25.967	0.0560032	26.04625	25.8667	250.0	250.0	5500	565324800.0	106731630.0	799233150.0	256581730.0	-927002800.0	2.3299663e+16	169.19677138328552
12	33.558113	0.027736664	33.58585	33.530376	26.035374	0.05033094	26.11575	25.930525	250.0	250.0	6000	923860740.0	133375870.0	1210009600.0	447667520.0	-1509832600.0	1.1223596e+17	184.7762439250946
13	33.569588	0.0329628	33.60255	33.536625	26.081888	0.035103686	26.12885	25.999926	250.0	250.0	6500	1325038000.0	164060510.0	1688963200.0	667234940.0	-2156564200.0	3.0283268e+17	200.64251470565796
14	33.62606	0.09331322	33.719376	33.53275	26.064987	0.091257155	26.244375	25.934826	250.0	250.0	7000	1771384000.0	200984200.0	2201819100.0	888586050.0	-2874670000.0	6.2132474e+17	216.22122263908386
15	33.605186	0.06536293	33.67055	33.539825	26.066223	0.050082352	26.1315	25.9942	250.0	250.0	7500	2270488000.0	241060820.0	2765596000.0	1174414100.0	-3674757400.0	1.10810356e+18	231.58905673027039
16	33.56816	0.03396225	33.602123	33.5342	26.070683	0.04725263	26.144726	26.0054	250.0	250.0	8000	2817966800.0	292334100.0	3432330500.0	1476664300.0	-4554489000.0	1.8175385e+18	247.23220252990723
17	33.668785	0.04878807	33.717575	33.62	26.018438	0.06907511	26.15595	25.9165	250.0	250.0	8500	3426438400.0	343409180.0	4092960000.0	1770938100.0	-5528664000.0	2.7833444e+18	263.6193587779999
18	33.608124	0.10047531	33.7086	33.50765	26.038494	0.07678662	26.139626	25.927025	250.0	250.0	9000	4093491700.0	399043460.0	4833782000.0	2139521800.0	-6595563000.0	4.1004532e+18	278.92739939689636
19	33.60601	0.07586098	33.681873	33.53015	26.047016	0.051020827	26.133326	25.95785	250.0	250.0	9500	4816153000.0	468488450.0	5716503000.0	2530749700.0	-7753115000.0	5.8306156e+18	294.27228236198425
20	33.532112	0.06483841	33.59695	33.467274	26.059504	0.03640985	26.124575	25.987076	250.0	250.0	10000	5603045400.0	538257200.0	6594315000.0	2941635000.0	-9011944000.0	8.06161e+18	309.7287037372589
21	27.233562	0.008962631	27.242525	27.2246	26.05803	0.050559632	26.157	25.978825	250.0	250.0	10500	6622729700.0	1146198500.0	12619440000.0	3401823200.0	-10397491000.0	1.0579094e+19	326.5492310523987
22	27.330051	0.038550377	27.3686	27.2915	26.055187	0.076492265	26.1553	25.949875	250.0	250.0	11000	7783947300.0	1753523100.0	14232482000.0	3966143200.0	-11859993000.0	1.3290479e+19	342.32894110679626
23	27.360214	0.0051374435	27.36535	27.355076	26.06358	0.045406308	26.106825	25.96555	250.0	250.0	11500	9025936000.0	2310674400.0	15969108000.0	4342453000.0	-13400977000.0	1.644917e+19	358.2854781150818
24	27.360075	0.010349274	27.370424	27.349726	26.03588	0.03457586	26.10205	25.996426	250.0	250.0	12000	10360066000.0	2831509200.0	17820146000.0	4913847300.0	-15036353000.0	1.988746e+19	374.24403715133667
25	27.339699	0.00660038	27.3463	27.3331	26.07525	0.042359993	26.1697	26.019775	250.0	250.0	12500	11762570000.0	3360436000.0	19739374000.0	5463535600.0	-16760151000.0	2.394858e+19	390.6774067878723
26	27.3162	0.003250122	27.31945	27.31295	26.051334	0.03124705	26.123026	26.001425	250.0	250.0	13000	13291595000.0	3920462000.0	21739450000.0	6127879000.0	-18592424000.0	2.838575e+19	406.85206270217896
27	27.388275	0.0062999725	27.394575	27.381975	26.087973	0.06605199	26.180075	25.97245	250.0	250.0	13500	14900841000.0	4464378400.0	23943120000.0	6695543000.0	-20540640000.0	3.3614098e+19	422.6699662208557
28	27.332577	0.0017499926	27.334326	27.330826	26.039791	0.038145714	26.1039	25.9889	250.0	250.0	14000	16671218000.0	5073539600.0	26155954000.0	7450032600.0	-22587392000.0	3.9027627e+19	439.0407075881958
29	27.294888	0.09866333	27.39355	27.196224	26.041107	0.058101002	26.104525	25.92905	250.0	250.0	14500	18508476000.0	5670387000.0	28625789000.0	8037014500.0	-24769233000.0	4.551546e+19	454.8221163749695
30	27.302538	0.0059871674	27.308525	27.29655	26.049143	0.08574601	26.1467	25.831175	250.0	250.0	15000	20517794000.0	6308731000.0	31084585000.0	8641401000.0	-27054973000.0	5.2467683e+19	470.55729722976685
31	27.275814	0.05618763	27.332	27.219625	26.0758	0.07158429	26.2597	25.99945	250.0	250.0	15500	22540835000.0	6959021000.0	33778307000.0	9492556000.0	-29450201000.0	6.07941e+19	486.4196848869324
32	27.364937	0.041962624	27.4069	27.322975	26.085638	0.077958725	26.17565	25.956276	250.0	250.0	16000	24702757000.0	7618078700.0	36577657000.0	10173426000.0	-31979416000.0	6.941694e+19	503.0264675617218
33	27.305939	0.055987358	27.361925	27.24995	26.061535	0.061684094	26.2209	25.9901	250.0	250.0	16500	27019310000.0	8282584000.0	39497680000.0	11115538000.0	-34660454000.0	7.937294e+19	519.105949640274
34	27.253763	0.0005874634	27.25435	27.253176	26.028803	0.04225795	26.101025	25.96715	250.0	250.0	17000	29537384000.0	9035211000.0	42593026000.0	11977438000.0	-37458840000.0	8.96607e+19	535.1932117938995
35	27.284388	0.0008869171	27.285275	27.2835	26.065334	0.052718952	26.121574	25.972925	250.0	250.0	17500	32056412000.0	9787963000.0	45642460000.0	12827045000.0	-40341148000.0	1.0142969e+20	551.4154257774353
36	27.235825	0.092624664	27.32845	27.1432	26.063278	0.059266135	26.14375	25.953276	250.0	250.0	18000	34782364000.0	10530696000.0	48905794000.0	14208527000.0	-43400864000.0	1.14380875e+20	568.1484882831573
37	27.25135	0.05997467	27.311325	27.191376	26.072693	0.058217335	26.14395	25.965525	250.0	250.0	18500	37489365000.0	11319949000.0	52474257000.0	14859231000.0	-46525956000.0	1.2902243e+20	584.3024842739105
38	27.312437	0.05521202	27.36765	27.257225	26.03136	0.027916329	26.067776	25.9769	250.0	250.0	19000	40512614000.0	12113778000.0	55986910000.0	15824173000.0	-49887478000.0	1.435196e+20	600.5037631988525
39	27.320938	0.053512573	27.37445	27.267426	26.054562	0.041925043	26.108324	25.949724	250.0	250.0	19500	43520850000.0	12939986000.0	59805016000.0	17089335000.0	-53334650000.0	1.6090524e+20	617.0831117630005
40	27.3746	0.08129978	27.4559	27.2933	26.045338	0.06997796	26.17555	25.96365	250.0	250.0	20000	46823195000.0	13867476000.0	63647883000.0	18074012000.0	-56965374000.0	1.7763082e+20	633.4768378734589
41	27.290226	0.06567478	27.3559	27.22455	26.076838	0.044947606	26.171375	25.984625	250.0	250.0	20500	50223247000.0	14696804000.0	67601800000.0	19329280000.0	-60703715000.0	1.9919528e+20	649.4812150001526
42	27.3592	0.0291996	27.3884	27.33	26.066732	0.039673325	26.143274	26.0069	250.0	250.0	21000	53581836000.0	15634268000.0	71954690000.0	20720697000.0	-64568205000.0	2.2009332e+20	665.9978086948395
43	27.290386	0.005812645	27.2962	27.284575	26.037012	0.043122962	26.093525	25.940475	250.0	250.0	21500	57320854000.0	16571592000.0	76223150000.0	21999182000.0	-68654744000.0	2.4328306e+20	682.7147748470306
44	27.259087	0.0053129196	27.2644	27.253775	26.051767	0.046200134	26.10665	25.9371	250.0	250.0	22000	61112267000.0	17572643000.0	80818420000.0	22811402000.0	-72797120000.0	2.664119e+20	699.1056413650513
45	27.238825	0.027450562	27.266275	27.211374	26.071878	0.05734963	26.150225	25.9545	250.0	250.0	22500	65062785000.0	18519048000.0	85503130000.0	24222614000.0	-77171974000.0	2.9334516e+20	715.5600380897522
46	27.351887	0.043637276	27.395525	27.30825	26.039682	0.055757213	26.161526	25.96995	250.0	250.0	23000	69202190000.0	19515343000.0	90275955000.0	25770852000.0	-81634850000.0	3.2150663e+20	732.0327150821686
47	27.284163	0.0117378235	27.2959	27.272425	26.060663	0.055364266	26.179125	25.9687	250.0	250.0	23500	73259655000.0	20601666000.0	95016810000.0	27284160000.0	-86217660000.0	3.5222948e+20	749.0952727794647
48	27.337349	0.017899513	27.35525	27.31945	26.072699	0.05469057	26.153425	25.9888	250.0	250.0	24000	77563970000.0	21641370000.0	100440580000.0	28759255000.0	-91044400000.0	3.8779047e+20	765.6854455471039
49	27.296225	0.011924744	27.30815	27.2843	26.054523	0.047290448	26.1316	25.95185	250.0	250.0	24500	82347475000.0	22747927000.0	105518320000.0	29945188000.0	-96060720000.0	4.2000792e+20	782.2830414772034
50	27.217787	0.025787354	27.243574	27.192	26.034542	0.0697591	26.190075	25.960325	250.0	250.0	25000	86739560000.0	23923070000.0	111115060000.0	31544154000.0	-101064140000.0	4.577194e+20	799.0395557880402
51	27.357887	0.046387672	27.404276	27.3115	26.090466	0.053717513	26.149225	25.9992	250.0	250.0	25500	91602170000.0	25086839000.0	116947070000.0	33217268000.0	-106406980000.0	5.010612e+20	815.6441550254822
52	27.338	0.009075165	27.347075	27.328924	26.048782	0.08293995	26.208176	25.906725	250.0	250.0	26000	96963920000.0	26155665000.0	122456210000.0	35104770000.0	-111927800000.0	5.378068e+20	832.5478587150574
53	27.32655	0.055475235	27.382025	27.271074	26.026007	0.05149773	26.091974	25.9533	250.0	250.0	26500	101745370000.0	27439346000.0	128653410000.0	36768096000.0	-117340260000.0	5.8395143e+20	849.4095685482025
54	27.305351	0.02769947	27.33305	27.27765	26.05098	0.027349994	26.08765	26.004475	250.0	250.0	27000	107065290000.0	28609638000.0	134824930000.0	39821218000.0	-123159670000.0	6.3683805e+20	866.7558224201202
55	27.302288	0.006962776	27.30925	27.295324	26.075367	0.03752872	26.14795	26.0094	250.0	250.0	27500	112683890000.0	29922597000.0	140900650000.0	41145938000.0	-129144570000.0	6.850285e+20	883.5550594329834
56	27.3379	0.07019997	27.4081	27.2677	26.051441	0.04992223	26.153425	25.9487	250.0	250.0	28000	118356290000.0	31201921000.0	148005930000.0	42064757000.0	-135240290000.0	7.3618324e+20	900.676043510437
57	27.253311	0.007937431	27.26125	27.245375	26.087442	0.04206129	26.176	26.019075	250.0	250.0	28500	124110420000.0	32434053000.0	154053770000.0	44433113000.0	-141484930000.0	7.974062e+20	918.508314371109
58	27.2636	0.030324936	27.293924	27.233274	26.080072	0.039440494	26.150375	26.001974	250.0	250.0	29000	130035730000.0	33823674000.0	160795460000.0	46179803000.0	-147820050000.0	8.478475e+20	935.7796640396118
59	27.315739	0.0018873217	27.317625	27.31385	26.081512	0.03573934	26.130976	26.020176	250.0	250.0	29500	135970930000.0	35328442000.0	168232440000.0	48350056000.0	-154395720000.0	9.227142e+20	952.8973541259766
60	27.367413	0.043388367	27.4108	27.324024	26.05628	0.06734212	26.18255	25.944675	250.0	250.0	30000	142561740000.0	36527030000.0	175228160000.0	50444370000.0	-161281460000.0	9.982629e+20	969.8361587524414
61	27.327562	0.011938095	27.3395	27.315624	26.038761	0.047070097	26.124025	25.965	250.0	250.0	30500	149247130000.0	37869883000.0	182254340000.0	53239440000.0	-168206000000.0	1.0405409e+21	988.1450221538544
62	27.3255	0.0074748993	27.332975	27.318026	26.069088	0.0423688	26.1285	25.975426	250.0	250.0	31000	155334850000.0	39426077000.0	190527010000.0	54617666000.0	-175231530000.0	1.15781755e+21	1005.5686142444611
63	27.259075	0.00549984	27.264574	27.253574	26.049088	0.059212647	26.161175	25.9708	250.0	250.0	31500	162232470000.0	40882967000.0	197750590000.0	57744417000.0	-182465970000.0	1.2230464e+21	1022.4885756969452
64	27.328	0.046099663	27.3741	27.2819	26.048487	0.06543179	26.123276	25.923225	250.0	250.0	32000	169378300000.0	42342597000.0	205950260000.0	59179630000.0	-190053520000.0	1.2827355e+21	1039.7510261535645
65	27.258999	0.032349586	27.29135	27.22665	26.056396	0.057262275	26.124926	25.9366	250.0	250.0	32500	176128050000.0	44042437000.0	214131110000.0	61396468000.0	-197656170000.0	1.4043668e+21	1056.934336423874
66	27.3276	0.027475357	27.355076	27.300125	26.044424	0.060132638	26.125074	25.9458	250.0	250.0	33000	183815100000.0	45494317000.0	222231040000.0	63510745000.0	-205647900000.0	1.485786e+21	1074.2642693519592
67	27.303074	0.019324303	27.3224	27.28375	26.072067	0.043918297	26.14945	25.999874	250.0	250.0	33500	191152200000.0	47112565000.0	231138560000.0	66106188000.0	-213668530000.0	1.5974618e+21	1091.480284690857
68	27.282124	0.10719967	27.389324	27.174925	26.080883	0.060924314	26.174225	25.9404	250.0	250.0	34000	198436420000.0	48957985000.0	239678000000.0	70258410000.0	-221723160000.0	1.7392088e+21	1109.3450033664703
69	27.278236	0.037636757	27.315874	27.2406	26.068869	0.054209292	26.152325	25.957926	250.0	250.0	34500	207077970000.0	50295360000.0	248921830000.0	72177320000.0	-230329320000.0	1.7770288e+21	1126.8637731075287
70	27.320614	0.028712273	27.349325	27.2919	26.078894	0.065264456	26.2094	25.979376	250.0	250.0	35000	215390180000.0	51706737000.0	257416460000.0	74313630000.0	-238973550000.0	1.8926736e+21	1144.0669412612915
71	27.305763	0.01873684	27.3245	27.287025	26.033855	0.049190804	26.131174	25.976875	250.0	250.0	35500	223285000000.0	53472195000.0	266863620000.0	77650395000.0	-247611340000.0	1.9802919e+21	1161.9121463298798
72	27.390287	0.04768753	27.437975	27.3426	26.063843	0.054685306	26.14025	25.97265	250.0	250.0	36000	231962020000.0	55091474000.0	275646000000.0	79017930000.0	-256804400000.0	2.1366364e+21	1179.2502255439758
73	27.315275	0.069675446	27.38495	27.2456	26.047754	0.054319076	26.140575	25.932674	250.0	250.0	36500	240051040000.0	56981025000.0	285351670000.0	81751520000.0	-265386100000.0	2.2823079e+21	1196.5291187763214
74	27.3013	0.092250824	27.39355	27.20905	26.060806	0.050554935	26.147175	25.9902	250.0	250.0	37000	249194220000.0	58694400000.0	295410860000.0	86823125000.0	-275035160000.0	2.3904972e+21	1213.9435052871704
75	27.34195	0.050675392	27.392626	27.291275	26.032038	0.04381879	26.12565	25.973875	250.0	250.0	37500	257794590000.0	60711050000.0	305637500000.0	88164100000.0	-284361720000.0	2.5151911e+21	1231.91077876091
76	27.277237	0.055462837	27.3327	27.221775	26.038052	0.033813477	26.10315	25.988775	250.0	250.0	38000	267246780000.0	62328030000.0	317241560000.0	91292590000.0	-294123960000.0	2.6456047e+21	1249.76323056221
77	27.37215	0.07769966	27.44985	27.29445	26.055893	0.067029096	26.170876	25.93995	250.0	250.0	38500	276425930000.0	64261640000.0	327841400000.0	94447010000.0	-303975240000.0	2.8241747e+21	1267.600564956665
78	27.296713	0.06403732	27.36075	27.232676	26.049774	0.043971643	26.13115	25.979675	250.0	250.0	39000	286285070000.0	65887240000.0	336678160000.0	97605894000.0	-314091600000.0	2.9912506e+21	1285.7297267913818
