Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-3913.2	13.810059	-3899.39	-3927.01	250.0	1.0543152	0.7678447	3.1590152	-0.7385165	500	-1.2626648e-06	1114358.1	-0.079609916	-811871.25	367.80426	0.78918815	0.874	1.0	2.8740813732147217
1	-3925.01	10.139893	-3914.87	-3935.15	250.0	-936.0445	264.60275	-3.2169523	-1185.6749	1000	5.645752e-07	317340.47	-0.07109414	-61917.75	368.02048	0.065495364	0.748	1.0	5.019467115402222
2	-3940.0352	1.5550537	-3938.48	-3941.59	250.0	-889.83527	248.49973	-5.304205	-1102.0359	1500	6.084442e-07	299364.94	-0.07201805	-88069.66	367.76102	0.05534619	0.73	1.0	7.141073703765869
3	-3897.085	43.994995	-3853.09	-3941.08	250.0	-857.0249	235.73433	-9.632229	-1139.25	2000	-1.0948181e-06	289554.47	-0.09970264	-115737.59	367.6394	0.075144716	0.824	4.0	9.293584108352661
4	-3891.27	10.820068	-3880.45	-3902.09	250.0	-897.9065	256.10385	-17.447693	-1265.0354	2500	-3.9672852e-07	293845.8	-0.10192846	-156476.45	366.61572	0.06329187	0.812	4.0	11.463603496551514
5	-3934.215	11.60498	-3922.61	-3945.82	250.0	-941.8676	289.23218	-31.39605	-1476.507	3000	-3.9672852e-07	330824.56	-0.11389221	-192808.7	366.43677	0.038283326	0.812	4.0	13.6173255443573
6	-3923.33	42.910034	-3880.42	-3966.24	250.0	-835.46027	294.81195	-47.99535	-1424.647	3500	3.490448e-07	347785.56	-0.12865521	-223938.0	367.09836	0.034182314	0.818	3.0	15.81053638458252
7	-3916.3901	1.710083	-3914.68	-3918.1	250.0	-892.83765	276.46326	-70.07474	-1564.8302	4000	4.825592e-07	273670.62	-0.12999621	-166545.66	367.0784	0.023678467	0.876	5.0	18.23903226852417
8	-3920.6099	3.1500244	-3917.46	-3923.76	250.0	-811.2023	262.3211	-65.414635	-1509.0636	4500	-9.0026856e-07	348922.97	-0.11263304	-233100.58	368.27988	0.0454151	0.802	3.0	20.39124631881714
9	-3933.1802	43.940063	-3889.24	-3977.12	250.0	-891.205	295.22137	-54.586334	-1619.0634	5000	8.5830686e-07	237900.38	-0.13205127	-140319.78	368.6578	0.036007933	0.876	7.0	22.584295988082886
10	-3908.06	8.48999	-3899.57	-3916.55	250.0	-721.5823	220.89311	-162.2813	-1350.4556	5500	-1.0700226e-06	314843.66	-0.12668024	-219706.94	368.2052	0.04328491	0.8	3.0	25.103460788726807
11	-3902.095	4.1950684	-3897.9	-3906.29	250.0	-943.9665	293.87708	-53.490593	-1753.4723	6000	3.242493e-08	277585.84	-0.11881092	-187442.1	366.50003	0.05375244	0.814	3.0	27.26915979385376
12	-3925.395	9.005005	-3916.39	-3934.4	250.0	-846.3185	260.0125	-270.07474	-1553.3047	6500	2.193451e-07	270353.3	-0.11356451	-201955.28	368.2189	0.05641327	0.824	3.0	29.410738706588745
13	-3910.9849	24.105103	-3886.88	-3935.09	250.0	-755.7593	267.72946	-263.07214	-1557.596	7000	1.8653869e-06	350227.47	-0.11731924	-288510.44	368.35846	0.06407184	0.71	2.0	31.567779302597046
14	-3936.275	16.545044	-3919.73	-3952.82	250.0	-929.1619	225.26228	-430.44748	-1817.6545	7500	-8.6402895e-07	198494.69	-0.10448949	-148154.98	368.36682	0.03696753	0.704	2.0	33.71575450897217
15	-3908.53	7.169922	-3901.36	-3915.7	250.0	-937.8509	227.00705	-333.4428	-1509.3358	8000	2.3269654e-07	260388.95	-0.11271425	-219387.75	366.92105	0.06973437	0.728	2.0	35.850138902664185
16	-3902.44	19.900024	-3882.54	-3922.34	250.0	-1002.225	353.6964	-293.99237	-2667.3762	8500	-1.753807e-06	234992.23	-0.12837481	-202725.42	368.00833	0.06495459	0.802	3.0	37.993452072143555
17	-3938.325	5.38501	-3932.94	-3943.71	250.0	-824.80493	223.84975	-321.48367	-1496.3864	9000	-3.7288666e-07	200530.88	-0.1241037	-176152.6	368.59198	0.04697101	0.726	2.0	40.15297722816467
18	-3932.44	19.630005	-3912.81	-3952.07	250.0	-718.2877	215.2765	-196.48718	-2089.409	9500	-1.1348725e-06	262827.12	-0.1044659	-241890.27	367.43906	0.04325116	0.582	1.0	42.290820360183716
19	-3904.545	10.084961	-3894.46	-3914.63	250.0	-1005.66364	233.2888	-333.8573	-1706.672	10000	6.9236756e-07	199046.55	-0.09160612	-181631.9	366.68558	0.04792737	0.576	1.0	44.43408250808716
20	-3914.005	12.924927	-3901.08	-3926.93	250.0	-1091.5645	391.25018	-463.15784	-3485.4753	10500	-4.6157837e-07	208439.38	-0.100755684	-194128.14	367.93674	0.057435915	0.648	1.0	46.884342193603516
