Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-9.783	0.034524918	-9.748475	-9.817525	250.0	-1.0173632	0.87668186	1.0280418	-3.6297202	500	1.4858246e-06	4.1201572	-148.42287	-3.6748197	0.194659	0.0	11.54509425163269
1	-9.801701	0.040549755	-9.76115	-9.84225	250.0	-2.0797608	0.6673395	-0.4706234	-4.4639726	1000	7.2479246e-08	1.7347156	-189.4259	-1.6418808	0.19513634	0.0	20.447098970413208
2	-9.792225	0.017800331	-9.774425	-9.810025	250.0	-2.267352	0.51368517	-0.8363102	-3.9492471	1500	8.792877e-07	1.1017754	-57.933933	-1.0925589	0.19252777	0.0	28.937054872512817
3	-9.674826	0.09345007	-9.581375	-9.768275	250.0	-2.0088043	0.5618338	-0.3315156	-3.6783965	2000	3.566742e-07	1.1146247	-153.27081	-1.1038935	0.19431926	0.0	37.90924525260925
4	-9.705612	0.034562588	-9.67105	-9.740175	250.0	-2.3304849	0.5048893	-1.1351001	-3.6290233	2500	3.2043457e-07	1.2114726	-204.23273	-1.2004616	0.19235022	0.0	46.7996928691864
5	-9.7894	0.013250351	-9.77615	-9.80265	250.0	-2.2206001	0.5439816	-0.7668843	-4.2429485	3000	1.0108947e-06	1.2076778	-519.4535	-1.1964154	0.1897846	0.0	55.2439079284668
6	-9.8179	0.012475014	-9.805425	-9.830375	250.0	-2.232354	0.47977695	-1.1898991	-3.6747673	3500	4.6539307e-07	0.88442117	-345.09518	-0.87440664	0.19451065	0.0	61.566850662231445
7	-9.706887	0.06678772	-9.6401	-9.773675	250.0	-2.246661	0.49626228	-1.1478792	-3.6851232	4000	-3.1280518e-07	1.0377162	-77.633575	-1.0282046	0.19370157	0.0	63.939523696899414
8	-9.7681875	0.03411293	-9.734075	-9.8023	250.0	-2.3252082	0.5410587	-0.8826862	-3.652252	4500	9.746551e-07	1.4480418	-183.0726	-1.4392439	0.1933434	0.0	66.39103746414185
9	-9.768837	0.11486292	-9.653975	-9.8837	250.0	-2.1261072	0.49057838	-1.1611177	-3.6830945	5000	9.651184e-07	1.025974	-1203.8386	-1.014615	0.19747385	0.0	68.78953623771667
