Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-9.783	0.034524918	-9.748475	-9.817525	250.0	1.0543152	0.7678447	3.1590152	-0.7385165	500	0.4543981	13.436499	-0.88031447	-12.848547	367.80426	0.5549242	2.813042163848877
1	-9.7318125	0.031812668	-9.7	-9.763625	250.0	-1.948139	0.6606737	-0.3873207	-3.5827096	1000	0.3016416	1.8776053	-0.36516702	-1.6574876	368.04556	0.2074502	4.966084718704224
2	-9.776312	0.06516218	-9.71115	-9.841475	250.0	-2.2089097	0.5494622	-1.0950681	-4.2603	1500	0.26351514	1.5867125	-0.30821535	-1.5624645	367.79517	0.17980792	7.115096569061279
3	-9.621862	0.015012741	-9.60685	-9.636875	250.0	-1.953708	0.49331063	-0.881367	-3.3320415	2000	-0.23308203	1.3341942	-0.23617041	-1.3120013	367.67532	0.12607843	9.241934776306152
4	-9.690388	0.03318739	-9.6572	-9.723575	250.0	-2.260093	0.53772503	-0.9396382	-4.3422256	2500	0.12926367	0.9311383	-0.2161416	-0.9164892	366.6536	0.10806232	11.361829042434692
5	-9.7767	0.03129959	-9.7454	-9.808	250.0	-2.3070922	0.5113536	-0.7834435	-3.6778781	3000	0.5231719	1.0036318	-0.1548135	-0.98983085	366.4524	0.09008514	13.497563362121582
6	-9.769475	0.01162529	-9.75785	-9.7811	250.0	-2.3044899	0.5743227	-0.89813524	-3.8002377	3500	8.789063e-05	1.5986553	-0.14190234	-1.583994	367.08325	0.04873297	15.642349481582642
7	-9.7056875	0.007037163	-9.69865	-9.712725	250.0	-1.8835291	0.5399848	-0.5968605	-3.660141	4000	-0.12199023	1.2440461	-0.15988868	-1.2290918	367.03873	0.08837097	17.781882524490356
8	-9.761238	0.00021219307	-9.761025	-9.76145	250.0	-2.2936864	0.5649234	-1.0902922	-3.8047934	4500	0.24959424	1.3665452	-0.11381592	-1.3510427	368.23264	0.05556903	19.928093671798706
9	-9.7692	0.08082485	-9.688375	-9.850025	250.0	-2.1843174	0.50795746	-0.9701071	-3.6690972	5000	-0.3957793	1.1484528	-0.1410361	-1.1317499	368.60837	0.03230298	22.067657470703125
10	-9.703051	0.054975033	-9.648075	-9.758025	250.0	-2.4351466	0.515736	-1.0796467	-3.680042	5500	-0.23055859	0.9102047	-0.11390333	-0.8966037	368.16623	0.03219568	25.121950387954712
11	-9.806063	0.017487526	-9.788575	-9.82355	250.0	-2.1531978	0.52480525	-1.0316955	-3.6474915	6000	1.5476648	1.2287426	-0.12688231	-1.2161841	366.46066	0.053098388	27.249256372451782
12	-9.749874	0.026649952	-9.723225	-9.776525	250.0	-2.1808934	0.5123612	-0.9288447	-3.6889882	6500	-1.235668	1.0906765	-0.093562484	-1.077687	368.17572	0.03749396	29.364662170410156
13	-9.795563	0.041412354	-9.75415	-9.836975	250.0	-2.0702906	0.58612853	-0.7604813	-3.6699057	7000	-0.75029004	1.0541924	-0.10415232	-1.03576	368.31815	0.037144836	31.52439594268799
14	-9.677275	0.025575161	-9.6517	-9.70285	250.0	-2.6110454	0.4838639	-0.8983939	-3.671801	7500	-0.51296973	1.2070035	-0.078783214	-1.193884	368.3311	0.013484986	33.6650927066803
15	-9.756887	0.0024871826	-9.7544	-9.759375	250.0	-2.0862706	0.4934309	-0.9368614	-3.657701	8000	1.0091313	1.2394055	-0.088274896	-1.225481	366.89417	0.028950805	35.777071952819824
16	-9.738276	0.0050997734	-9.733175	-9.743375	250.0	-2.2972505	0.5010716	-1.0101843	-3.6706352	8500	0.47131738	0.9675921	-0.12389648	-0.9554104	367.9896	0.025564209	37.9073965549469
17	-9.681826	0.008224964	-9.6736	-9.69005	250.0	-2.3932803	0.46546042	-1.2840875	-3.6622334	9000	-0.8759375	0.95501095	-0.14192384	-0.9415803	368.5754	0.039961122	40.06817102432251
18	-9.7119875	0.030337334	-9.68165	-9.742325	250.0	-2.149166	0.44550636	-1.1236804	-3.6460378	9500	0.6020098	0.89721876	-0.116041034	-0.8841921	367.42288	0.04743231	42.226118087768555
19	-9.684487	0.029637337	-9.65485	-9.714125	250.0	-2.426196	0.46524653	-1.2485433	-3.661707	10000	-0.7078057	0.90614015	-0.091582	-0.89603907	366.6693	0.005932251	44.343608140945435
20	-9.624451	0.027925014	-9.596525	-9.652375	250.0	-2.2078505	0.5393895	-1.1067249	-3.9184585	10500	-0.31802928	0.6890322	-0.122259766	-0.67588425	367.92047	0.050711792	46.76992630958557
21	-9.7115	0.089950085	-9.62155	-9.80145	250.0	-2.3958824	0.51533616	-1.2058115	-3.6306262	11000	-0.31349415	1.1461285	-0.11886132	-1.1318597	368.38312	0.05793579	48.90818500518799
22	-9.606874	0.03455019	-9.572325	-9.641425	250.0	-1.9404961	0.514712	-1.0391166	-3.6460526	11500	-0.4809712	1.1539255	-0.08299026	-1.1411811	367.3187	0.047985658	51.02514719963074
