Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-11.396913	0.05006218	-11.34685	-11.446975	250.0	-0.62173593	0.6816874	1.2935288	-2.737944	500	-8.9645386e-07	7.0883956	-104234.34	-6.427725	0.4824215	0.0	3.4984962940216064
1	-11.327562	0.07236242	-11.2552	-11.399925	250.0	-2.6451626	0.77045435	-0.43001974	-4.9019117	1000	-1.8959046e-06	2.030617	-260260.52	-1.8308617	0.47192624	0.0	6.041167736053467
2	-11.352588	0.017262459	-11.335325	-11.36985	250.0	-3.0121992	0.80151004	-1.5178156	-6.388959	1500	-4.59671e-07	1.5775431	-6878.389	-1.5631528	0.46981734	0.0	8.538701295852661
3	-11.281137	0.042987823	-11.23815	-11.324125	250.0	-2.3449714	0.60886866	-0.75869644	-4.1502547	2000	2.2888184e-08	1.926893	-2097004.0	-1.9126389	0.46512827	0.0	11.016925573348999
4	-11.354025	0.020050049	-11.333975	-11.374075	250.0	-2.7729058	0.61222637	-1.3038175	-4.8061624	2500	-3.242493e-08	1.2860273	-5620.5996	-1.2707157	0.4746134	0.0	13.486806631088257
5	-11.359588	0.07953739	-11.28005	-11.439125	250.0	-2.5867834	0.5961759	-1.2114967	-4.8557305	3000	-1.2779236e-07	1.4474685	-31772.559	-1.4322244	0.4707053	0.0	16.368603467941284
6	-11.346937	0.029737473	-11.3172	-11.376675	250.0	-2.6645482	0.6669593	-1.2008306	-4.6276507	3500	1.5182495e-06	1.1880231	-23673.44	-1.1758274	0.47151676	0.0	19.037270545959473
7	-11.269526	0.04215002	-11.227375	-11.311675	250.0	-2.4051695	0.67661685	-0.8907923	-5.066965	4000	-3.4332277e-07	1.4918356	-19637.783	-1.4706949	0.48197535	0.0	21.568955659866333
8	-11.275763	0.017262459	-11.2585	-11.293025	250.0	-2.7045996	0.5538278	-1.3307978	-4.3712335	4500	4.749298e-07	1.3250883	-84623.62	-1.3079513	0.46733746	0.0	24.13900113105774
9	-11.334763	0.033337593	-11.301425	-11.3681	250.0	-2.6236894	0.63499534	-0.65846723	-4.198407	5000	-3.7002565e-07	1.3458381	-15887.073	-1.331035	0.47886983	0.0	26.629276037216187
10	-11.253537	0.0061626434	-11.247375	-11.2597	250.0	-2.4418492	0.5927691	-1.1283144	-4.3317747	5500	-2.3269654e-07	1.1384114	-236145.44	-1.1238362	0.479659	0.0	29.36460304260254
11	-11.328512	0.06863737	-11.259875	-11.39715	250.0	-2.775964	0.6266951	-1.1554534	-4.2760205	6000	6.656647e-07	1.3929865	-1700.225	-1.3796351	0.47391993	0.0	31.8422110080719
12	-11.240137	0.010287762	-11.22985	-11.250425	250.0	-2.4511518	0.6222541	-0.76767766	-4.214767	6500	5.4550173e-07	1.1035649	-52636.105	-1.0927521	0.47546154	0.0	34.32774353027344
13	-11.318262	0.03481245	-11.28345	-11.353075	250.0	-2.710604	0.6321449	-1.0411438	-4.398159	7000	-5.283356e-07	1.2273434	-47865.98	-1.213735	0.48451075	0.0	36.78787183761597
14	-11.295412	0.05138731	-11.244025	-11.3468	250.0	-2.7185779	0.5464746	-1.5048919	-4.2941294	7500	1.2836456e-06	1.4406776	-383.91443	-1.4288539	0.47171298	0.0	39.34942579269409
15	-11.268387	0.010787487	-11.2576	-11.279175	250.0	-2.4790616	0.6671987	-1.1784748	-4.6568565	8000	4.558563e-07	1.2792053	-48687.027	-1.2655568	0.4740543	0.0	41.862892866134644
16	-11.299775	0.026325226	-11.27345	-11.3261	250.0	-2.544181	0.66655093	-1.2947321	-4.4246764	8500	1.1940002e-06	1.1515514	-10973.776	-1.1373192	0.46984127	0.0	44.390865087509155
