Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-11.659349	0.016774654	-11.642575	-11.676125	250.0	-0.30883846	0.57574445	1.2064354	-2.1635566	500	-3.7384032e-07	8.639257	-19014.246	-8.11279	0.4800066	0.0	3.3433640003204346
1	-11.608637	0.010462284	-11.598175	-11.6191	250.0	-2.7126396	0.5620633	-0.9875458	-3.822248	1000	1.9073487e-09	1.7481531	-131525.72	-1.5958263	0.47486913	0.0	5.775508880615234
2	-11.645838	0.011287689	-11.63455	-11.657125	250.0	-2.9927628	0.5702972	-1.5062912	-4.45676	1500	-8.773804e-08	1.6130384	-13093536.0	-1.5911855	0.47735217	0.0	8.2625150680542
3	-11.617512	0.0065875053	-11.610925	-11.6241	250.0	-2.8528368	0.56452274	-1.1785539	-4.0228148	2000	4.196167e-07	1.7271992	-741068.94	-1.7134063	0.4774567	0.0	10.663647413253784
4	-11.636024	0.007475376	-11.62855	-11.6435	250.0	-2.9175174	0.5702091	-1.4021446	-4.447468	2500	-4.15802e-07	1.3092273	-8455300.0	-1.2973305	0.47259036	0.0	13.098640441894531
5	-11.632425	0.0050501823	-11.627375	-11.637475	250.0	-3.0648763	0.58362454	-1.2460821	-5.146902	3000	2.1362305e-07	1.6013634	-13292073.0	-1.5890177	0.47498226	0.0	15.771025896072388
6	-11.628338	0.02761221	-11.600725	-11.65595	250.0	-2.86267	0.8046725	-0.544373	-4.5382285	3500	-7.038116e-07	1.7277544	-52437.016	-1.7191031	0.4809541	0.0	18.215933322906494
7	-11.622638	0.003862381	-11.618775	-11.6265	250.0	-2.8791375	0.66629064	-0.81643236	-5.6860137	4000	1.0204315e-07	1.4331814	-40325.297	-1.4219214	0.47938997	0.0	20.611833810806274
8	-11.6393	0.026350021	-11.61295	-11.66565	250.0	-3.009912	0.5730638	-1.5303317	-4.6070166	4500	-1.0910035e-06	1.6408783	-212836.8	-1.6288375	0.4720468	0.0	23.007968187332153
9	-11.600388	0.016062737	-11.584325	-11.61645	250.0	-2.884513	0.5978577	-1.1955215	-4.318911	5000	5.168915e-07	1.3927187	-4755459.5	-1.381361	0.48048267	0.0	25.42297649383545
10	-11.629437	0.020037651	-11.6094	-11.649475	250.0	-2.874728	0.56173617	-1.3515602	-4.5028234	5500	4.196167e-07	1.3145871	-248778.05	-1.3034488	0.47481167	0.0	28.178881883621216
11	-11.663238	0.01651287	-11.646725	-11.67975	250.0	-3.0810106	0.6697486	-0.9868077	-4.7746634	6000	1.5583038e-06	1.1107267	-67709.93	-1.0997735	0.48261622	0.0	30.556445121765137
12	-11.59635	0.00927496	-11.587075	-11.605625	250.0	-2.8316567	0.61004597	-1.1228734	-4.304062	6500	-4.9972533e-07	1.5274925	-103198.26	-1.512803	0.47969592	0.0	33.10023331642151
13	-11.598288	0.002612114	-11.595675	-11.6009	250.0	-3.0406582	0.5934716	-1.2289163	-4.264378	7000	-9.155273e-07	1.5053406	-672393.9	-1.4919512	0.47535425	0.0	35.56023597717285
14	-11.589812	0.006512642	-11.5833	-11.596325	250.0	-2.972124	0.62837607	-1.3771597	-4.753551	7500	2.7656554e-07	1.7620838	-60564.77	-1.7500831	0.47833595	0.0	38.043495655059814
15	-11.5991	0.0063500404	-11.59275	-11.60545	250.0	-2.9695196	0.56980145	-0.68294406	-4.6655755	8000	-6.580353e-07	1.4408184	-1206632.6	-1.4292034	0.4747091	0.0	40.52018213272095
16	-11.618538	0.02816248	-11.590375	-11.6467	250.0	-2.7091272	0.6173325	-0.7649579	-4.2869473	8500	2.3460389e-07	1.6162741	-12423964.0	-1.6013954	0.4737181	0.0	43.059773445129395
17	-11.6207	0.0043497086	-11.61635	-11.62505	250.0	-2.9574184	0.5558488	-1.6288476	-4.7833366	9000	6.027222e-07	1.2322956	-2334160.5	-1.2208906	0.48244566	0.0	45.810970067977905
18	-11.636826	0.016725063	-11.6201	-11.65355	250.0	-3.1953237	0.5790418	-1.4919372	-4.3790255	9500	4.6730042e-07	1.4416063	-46454.49	-1.4255098	0.47957003	0.0	49.05487084388733
19	-11.6012745	0.011100292	-11.590175	-11.612375	250.0	-3.1979854	0.5553491	-1.4390832	-4.627227	10000	4.787445e-07	1.4437544	-74583.09	-1.4276786	0.47768945	0.0	52.795544147491455
20	-11.624625	0.003950119	-11.620675	-11.628575	250.0	-2.8262246	0.72494847	-0.85024256	-4.3673687	10500	-4.1198732e-07	1.4072044	-376469.44	-1.3939227	0.47072762	0.0	61.948495626449585
21	-11.6060505	0.028475285	-11.577575	-11.634525	250.0	-3.213223	0.57553923	-1.2075106	-4.9231906	11000	8.392334e-08	1.5347409	-388192.9	-1.52009	0.4808058	0.0	70.34595537185669
22	-11.618063	0.020487309	-11.597575	-11.63855	250.0	-3.0797012	0.64948666	-0.9413466	-4.5240407	11500	-8.716583e-07	1.4926716	-3195031.5	-1.4808302	0.4739476	0.0	78.85917544364929
23	-11.596437	0.015562534	-11.580875	-11.612	250.0	-3.1865528	0.52995193	-1.4027567	-5.1011167	12000	8.010864e-07	1.3324559	-136000.17	-1.3197359	0.4740885	0.0	87.3918228149414
24	-11.625626	0.035475254	-11.59015	-11.6611	250.0	-3.1377022	0.62005657	-1.227473	-4.593887	12500	9.63211e-07	1.7085274	-284005.44	-1.6981187	0.48221347	0.0	95.69853186607361
25	-11.6154	0.0015249252	-11.613875	-11.616925	250.0	-3.1117997	0.59301084	-1.486395	-4.298615	13000	-3.299713e-07	1.4918045	-116378.77	-1.4776547	0.47345498	0.0	104.16819477081299
26	-11.628788	0.0017628671	-11.627025	-11.63055	250.0	-2.9337926	0.66187614	-1.2013814	-5.0263586	13500	1.5830993e-07	1.4997281	-314549.53	-1.4874195	0.47509187	0.0	112.71659660339355
27	-11.6060505	0.01687479	-11.589175	-11.622925	250.0	-2.9032452	0.6170789	-1.012297	-4.635956	14000	-9.498596e-07	1.1373736	-206686.47	-1.1283654	0.48270196	0.0	121.14871501922607
28	-11.6137	0.010424614	-11.603275	-11.624125	250.0	-3.0785737	0.640439	-0.98518854	-4.286343	14500	7.6293946e-07	1.6705245	-326649.66	-1.6555014	0.48124203	0.0	129.54314923286438
29	-11.644925	0.031125069	-11.6138	-11.67605	250.0	-2.925463	0.6966182	-1.2018325	-4.458403	15000	2.7084351e-07	1.3995702	-42615.77	-1.3892316	0.48163983	0.0	137.96977758407593
30	-11.609375	0.017575264	-11.5918	-11.62695	250.0	-3.086155	0.58858764	-0.9201889	-4.4069276	15500	4.7683716e-07	1.0661764	-10830787.0	-1.0543435	0.47865716	0.0	147.29961442947388
