Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-11.396913	0.05006218	-11.34685	-11.446975	250.0	0.91255397	0.55934453	2.4750648	-0.48771903	500	0.53402114	15.635335	-0.5820834	-14.851004	367.80426	0.17394781	2.8006882667541504
1	-11.313337	0.07251263	-11.240825	-11.38585	250.0	-2.5590887	0.7584774	-0.3687436	-4.2947516	1000	0.442604	1.9728751	-0.27797264	-1.5543368	368.04135	0.031105958	4.914886951446533
2	-11.2879	0.013150215	-11.27475	-11.30105	250.0	-2.7481782	0.8845342	-1.1926866	-6.249189	1500	0.9421963	1.4718368	-0.20244437	-1.3958589	367.79208	-0.0017390137	7.019239664077759
3	-11.2409	0.062999725	-11.1779	-11.3039	250.0	-2.2670035	0.58203256	-0.72985804	-3.7512922	2000	-0.56546974	1.4039899	-0.25440818	-1.3832035	367.67664	0.058878236	9.127754926681519
4	-11.33395	0.04374981	-11.2902	-11.3777	250.0	-2.9010513	0.7010246	-1.0729527	-5.075641	2500	-0.08356348	1.0743129	-0.17634472	-1.0569419	366.65637	0.074195616	11.261898279190063
5	-11.368887	0.041637897	-11.32725	-11.410525	250.0	-2.6900346	0.6678249	-0.95316035	-4.765423	3000	0.4219492	1.4584004	-0.14088574	-1.4415058	366.45416	0.04929309	13.373657941818237
6	-11.320525	0.054724693	-11.2658	-11.37525	250.0	-2.7182453	0.7571098	-1.0461967	-5.0338235	3500	-0.22855371	1.3867021	-0.13830665	-1.3707994	367.08347	0.024499146	15.481556415557861
7	-11.313275	0.036499977	-11.276775	-11.349775	250.0	-2.5371487	0.58533615	-1.201729	-5.1109385	4000	-0.65543455	1.4038856	-0.13367969	-1.38831	367.03827	0.052661803	17.631088256835938
8	-11.306225	0.026350021	-11.279875	-11.332575	250.0	-2.3811898	0.6017551	-1.059582	-4.2026305	4500	0.8220371	1.3022786	-0.11371386	-1.2836527	368.23117	0.03905145	19.770196676254272
9	-11.316487	0.021712303	-11.294775	-11.3382	250.0	-2.9384995	0.6692142	-1.3305948	-5.3512006	5000	-0.035680663	1.3546708	-0.12314062	-1.3396739	368.607	0.024120728	21.911217212677002
10	-11.256451	0.05005026	-11.2064	-11.3065	250.0	-2.360441	0.63512295	-1.0733451	-4.2035384	5500	0.2909707	1.2034502	-0.119437516	-1.188713	368.16534	0.006916565	24.370511293411255
11	-11.344488	0.023287296	-11.3212	-11.367775	250.0	-2.7960079	0.6484593	-1.2368674	-4.7439823	6000	1.1844873	1.0190424	-0.1068809	-1.0005207	366.46085	0.023522705	26.528470277786255
12	-11.25975	0.034275055	-11.225475	-11.294025	250.0	-2.5050962	0.6455476	-1.144513	-4.3063135	6500	-0.42857715	0.9988377	-0.13107422	-0.97932017	368.1767	0.04356439	28.648728132247925
13	-11.29385	0.0145254135	-11.279325	-11.308375	250.0	-2.7994971	0.690379	-1.3847955	-5.6704316	7000	-0.6815615	0.9589373	-0.106889665	-0.94316936	368.32068	0.036369752	30.77413249015808
14	-11.305975	0.049750328	-11.256225	-11.355725	250.0	-2.764023	0.54188716	-1.0820335	-4.1937847	7500	-0.59945315	1.2910347	-0.09845406	-1.2770902	368.33505	0.02316919	32.918296575546265
15	-11.311438	0.009912491	-11.301525	-11.32135	250.0	-2.840054	0.6647453	-1.4232719	-4.539632	8000	1.6341718	1.1270978	-0.071458936	-1.1104065	366.89926	0.021528015	35.04088473320007
16	-11.330213	0.013612747	-11.3166	-11.343825	250.0	-2.662171	0.76399356	-0.88295335	-5.2903647	8500	-0.26165724	1.1339839	-0.084374994	-1.1192006	367.99646	0.017971924	37.19096565246582
17	-11.30905	0.0070996284	-11.30195	-11.31615	250.0	-2.778282	0.6413672	-1.3038518	-4.8217835	9000	-0.20804101	1.2090086	-0.10607228	-1.1941429	368.58304	0.024263917	39.351847887039185
18	-11.3259	0.030349731	-11.29555	-11.35625	250.0	-2.8477905	0.5739082	-1.580817	-4.362264	9500	0.28847557	1.3334563	-0.10554686	-1.3185067	367.43192	0.013758057	41.50178527832031
